OPEC oil price annually 1960-2021,
Average annual OPEC crude oil price from 1960 to 2021 (in U.S. dollars per barrel),
,
1960,1.63
1961,1.57
1962,1.52
1963,1.5
1964,1.45
1965,1.42
1966,1.36
1967,1.33
1968,1.32
1969,1.27
1970,1.21
1971,1.7
1972,1.82
1973,2.7
1974,11
1975,10.43
1976,11.6
1977,12.5
1978,12.79
1979,29.19
1980,35.52
1981,34
1982,32.38
1983,29.04
1984,28.2
1985,27.01
1986,13.53
1987,17.73
1988,14.24
1989,17.31
1990,22.26
1991,18.62
1992,18.44
1993,16.33
1994,15.53
1995,16.86
1996,20.29
1997,18.86
1998,12.28
1999,17.44
2000,27.6
2001,23.12
2002,24.36
2003,28.1
2004,36.05
2005,50.59
2006,61
2007,69.04
2008,94.1
2009,60.86
2010,77.38
2011,107.46
2012,109.45
2013,105.87
2014,96.29
2015,49.49
2016,40.76
2017,52.51
2018,69.78
2019,64.04
2020,41.47
2021*,57.72
