Year,Trucks,Cars,Total
1960,75417,447771,523188
1961,74160,437319,511479
1962,82645,502565,585210
1963,97202,557787,654989
1964,109120,616759,725879
1965,122279,708716,830995
1966,132611,694820,827431
1967,135872,679435,815307
1968,147538,741915,889453
1969,156702,760803,917505
1970,133881,640360,774241
1971,159570,780762,940332
1972,206662,858959,1065621
1973,255870,970828,1226698
1974,306507,942797,1249304
1975,327349,989280,1316629
1976,344975,946488,1291463
1977,353561,991398,1344959
1978,377654,988890,1366544
1979,393394,1003008,1396402
1980,331747,932060,1263807
1981,286687,904195,1190882
1982,207421,713481,920902
1983,237770,843318,1081088
1984,312292,971210,1283502
1985,393194,1137216,1530410
1986,420607,1095313,1515920
1987,468544,1065093,1533637
1988,509191,1056310,1565501
1989,495741,988134,1483875
1990,433305,884564,1317869
1991,414606,873184,1287790
1992,429396,798023,1227419
1993,453885,739049,1192934
1994,511390,748666,1260056
1995,496345,670190,1166535
1996,543788,660769,1204557
1997,685830,738550,1424380
1998,688123,740809,1428932
1999,735591,806450,1542041
2000,738390,849171,1587561
2001,729331,868633,1597964
2002,798614,934704,1733318
2003,760993,865475,1626468
2004,755092,820103,1575195
2005,785088,845222,1630310
2006,803166,863161,1666327
2007,831535,859003,1690538
2008,779639,894506,1674145
2009,737185,747671,1484856
2010,874285,710214,1584499
2011,929498,691079,1620577
2012,957779,759024,1716803
2013,1015541,760920,1776461
2014,1129938,760449,1890387
